mass,log_mass,year,reclat,reclong,fall,recclass
104.0,4.6443908991413725,1990,-84.59479,162.36067,Found,L5
712.0,6.568077911411976,2001,0.0,0.0,Found,LL6
17.9,2.884800712846709,1994,-84.0,168.0,Found,L5
327.0,5.7899601708972535,1997,19.91933,11.88183,Found,H5
1.9,0.6418538861723947,1991,-85.66181,-68.16069,Found,H5
12.3,2.509599262378372,1987,-84.25328,161.40596,Found,H5
622.4,6.433582972864182,2003,19.27643,55.76668,Found,L5
3.71,1.3110318766193438,2003,-72.95194,160.52222,Found,H6
7.1,1.9600947840472698,1994,-84.0,168.0,Found,CM2
3.3,1.1939224684724346,1975,-71.5,35.66667,Found,L6
1.41,0.34358970439007686,2006,-72.783889,75.2725,Found,H4
30.4,3.414442608412176,1979,-71.5,35.66667,Found,LL4
6.82,1.9198594718553708,1998,0.0,0.0,Found,EL6
113.0,4.727387818712341,2001,18.71848,54.22,Found,H5
13.9,2.631888840136646,1998,-86.71667,-141.5,Found,H6
82.0,4.406719247264253,2006,0.0,0.0,Found,L6
8.7,2.163323025660538,1985,-84.2738,161.36764,Found,L4
0.7,-0.35667494393873245,2006,-72.786389,75.296667,Found,H5
53.12,3.9725535051681784,1988,-72.0,26.0,Found,L5
957.0,6.863803391452954,1995,27.30483,16.30017,Found,LL3.8
141.0,4.948759890378168,2000,19.77562,56.64048,Found,Eucrite
214.1,5.366443195595637,1999,-84.0,168.0,Found,L5
3085.5,8.034468997761122,1982,-85.61621,-68.5873,Found,L5
34.4,3.5380565643793527,1988,-84.28813,161.37442,Found,H5
175.4,5.1670690799380825,1990,-76.26985,156.49568,Found,L6
30.4,3.414442608412176,1990,-72.95417,160.52512,Found,H5
666.0,6.501289670540389,2000,18.6676,54.60492,Found,H5/6
5.09,1.6272778305624314,1974,-71.5,35.66667,Found,H5
21.2,3.054001181677967,2008,0.0,0.0,Found,LL6
30.6,3.4210000089583352,2001,-79.68333,159.75,Found,Ureilite-an
2.4,0.8754687373538999,2010,0.0,0.0,Found,L6
1058.7,6.9647970193493345,2001,-72.85833,161.13611,Found,H5
1.3,0.26236426446749106,1978,-76.71667,159.66667,Found,H5
107.1,4.673762977453703,1990,-72.95614,160.43429,Found,L6
560.2,6.328293862826008,1987,-76.27148,157.20281,Found,Eucrite-Mg rich
38.01,3.6378492830011573,1974,-71.5,35.66667,Found,H5
1.12,0.11332868530700327,1975,-71.5,35.66667,Found,L6
16.83,2.8231630082027146,1998,0.0,0.0,Found,LL-melt breccia
41.5,3.7256934272366524,2003,0.0,0.0,Found,L-melt rock
150.0,5.0106352940962555,1998,27.16267,16.296,Found,L6
39.57,3.678071255397333,1979,-71.5,35.66667,Found,H6
38.4,3.648057459593681,1983,-76.987,156.87283,Found,H5
25.6,3.242592351485517,2009,0.0,0.0,Found,LL6
87.0,4.465908118654584,1997,27.01733,16.0885,Found,L6
140.0,4.941642422609304,2000,28.44067,12.88167,Found,LL6
4.7,1.547562508716013,1999,-84.0,168.0,Found,LL5
9.7,2.272125885509337,2001,-79.68333,159.75,Found,L5
89.7,4.49647076906475,2000,-79.68333,159.75,Found,L5
68.34,4.2244952466871455,1979,-71.5,35.66667,Found,H4
298.0,5.697093486505405,1999,-84.0,168.0,Found,H5
2433.0,7.796880342783522,2008,0.0,0.0,Found,H6
95.17,4.555664766084252,1988,-72.0,26.0,Found,H6
2.05,0.7178397931503168,1979,-71.5,35.66667,Found,H5
581.0,6.364750756851911,1996,27.09967,16.03467,Found,CO3
5.62,1.7263316639055997,1998,0.0,0.0,Found,H3
4.0,1.3862943611198906,2010,0.0,0.0,Found,L6
9.1,2.2082744135228043,1979,-71.5,35.66667,Found,L6
405.0,6.003887067106539,2009,24.13333,-13.16667,Found,L6
